antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'movi', 'worst'})",frozenset({'ever'}),0.017853639395722973,0.07553462821267412,0.01059446733372572,0.5934065934065934,7.856086770372484,0.009245899319726634,2.273685103585045,0.8885744513990619
frozenset({'worst'}),frozenset({'ever'}),0.05218756131057485,0.07553462821267412,0.02982146360604277,0.5714285714285714,7.565120593692022,0.025879495565122364,2.1570858675037603,0.9155971848478576
frozenset({'ever'}),frozenset({'worst'}),0.07553462821267412,0.05218756131057485,0.02982146360604277,0.3948051948051948,7.565120593692022,0.025879495565122364,1.5661278493366038,0.9387202886247877
frozenset({'wast'}),"frozenset({'money', 'dont'})",0.08985677849715519,0.032371983519717484,0.02177751618599176,0.2423580786026201,7.486661373560937,0.01886867403334695,1.2771574396195082,0.9519700774281503
"frozenset({'money', 'dont'})",frozenset({'wast'}),0.032371983519717484,0.08985677849715519,0.02177751618599176,0.6727272727272726,7.486661373560936,0.01886867403334695,2.780993176814247,0.895415488481182
frozenset({'charact'}),frozenset({'main'}),0.08554051402785952,0.020796546988424564,0.013144987247400432,0.15366972477064222,7.389194218452485,0.01136603992800606,1.1569992019323765,0.9455500869392578
frozenset({'main'}),frozenset({'charact'}),0.020796546988424564,0.08554051402785952,0.013144987247400432,0.6320754716981132,7.389194218452484,0.01136603992800606,2.4854539875140227,0.8830312472898979
frozenset({'worst'}),"frozenset({'ever', 'book'})",0.05218756131057485,0.02766333137139494,0.01059446733372572,0.20300751879699247,7.338505839065749,0.009150785531726298,1.2200073295057023,0.911290508061363
"frozenset({'ever', 'book'})",frozenset({'worst'}),0.02766333137139494,0.05218756131057485,0.01059446733372572,0.3829787234042553,7.338505839065749,0.009150785531726298,1.536109814427689,0.8883059815263206
"frozenset({'wast', 'buy'})",frozenset({'money'}),0.015891701000588582,0.11065332548557975,0.012556405728860114,0.7901234567901234,7.140530601523509,0.010797936165522472,4.237475331509884,0.8738412081339713
frozenset({'money'}),"frozenset({'wast', 'buy'})",0.11065332548557975,0.015891701000588582,0.012556405728860114,0.11347517730496454,7.140530601523508,0.010797936165522472,1.110074161271336,0.9669506949040368
frozenset({'play'}),frozenset({'game'}),0.06415538552089464,0.03609966647047283,0.0164802825191289,0.25688073394495414,7.1158755484643,0.01416429449954,1.2971004488236848,0.9183887391434561
frozenset({'game'}),frozenset({'play'}),0.03609966647047283,0.06415538552089464,0.0164802825191289,0.4565217391304347,7.115875548464299,0.01416429449954,1.7219540906415536,0.8916577011427408
frozenset({'sound'}),frozenset({'album'}),0.051206592113007654,0.030606238964096526,0.010202079654698843,0.1992337164750958,6.509578544061304,0.00863483845995111,1.2105826393797647,0.892059553349876
frozenset({'album'}),frozenset({'sound'}),0.030606238964096526,0.051206592113007654,0.010202079654698843,0.33333333333333337,6.509578544061303,0.00863483845995111,1.4231901118304886,0.8731026108075288
frozenset({'wast'}),"frozenset({'money', 'time'})",0.08985677849715519,0.032371983519717484,0.018246027074749854,0.20305676855895197,6.272608177848352,0.015337184922105042,1.2141743330081354,0.9235652845093145
"frozenset({'money', 'time'})",frozenset({'wast'}),0.032371983519717484,0.08985677849715519,0.018246027074749854,0.5636363636363636,6.272608177848352,0.015337184922105042,2.085744882610686,0.8686981660256914
frozenset({'develop'}),frozenset({'charact'}),0.020600353148911125,0.08554051402785952,0.0109868550127526,0.5333333333333333,6.234862385321101,0.009224690215239308,1.9595560413688724,0.8572716346153847
frozenset({'charact'}),frozenset({'develop'}),0.08554051402785952,0.020600353148911125,0.0109868550127526,0.12844036697247707,6.234862385321101,0.009224690215239308,1.1237322263870388,0.9181506114567689
"frozenset({'even', 'movi'})",frozenset({'film'}),0.027859525210908377,0.06121247792819305,0.010398273494212282,0.3732394366197183,6.097440411700975,0.008692922922149614,1.4978407655527706,0.8599546865182872
frozenset({'film'}),"frozenset({'even', 'movi'})",0.06121247792819305,0.027859525210908377,0.010398273494212282,0.16987179487179488,6.097440411700975,0.008692922922149614,1.1710726954988286,0.8905068906370142
"frozenset({'plot', 'book'})",frozenset({'charact'}),0.02668236217382774,0.08554051402785952,0.01373356876594075,0.5147058823529412,6.0171006475984905,0.01145114579011401,1.8843407589728958,0.8566648429176146
frozenset({'charact'}),"frozenset({'plot', 'book'})",0.08554051402785952,0.02668236217382774,0.01373356876594075,0.16055045871559634,6.01710064759849,0.01145114579011401,1.1594712844049484,0.9118031078554573
frozenset({'scene'}),frozenset({'film'}),0.030410045124583087,0.06121247792819305,0.011183048852266038,0.36774193548387096,6.007630272952854,0.00932157463628214,1.4848169991952047,0.8596881722720399
frozenset({'film'}),frozenset({'scene'}),0.06121247792819305,0.030410045124583087,0.011183048852266038,0.18269230769230768,6.007630272952853,0.00932157463628214,1.1863218271416867,0.8878952868063575
